User_ID,Age,Gender,Region,Education_Level,Course_Interested,Preferred_Device,Ad_Channel,Interest_Score,Visit_Date,Signup_Status,Signup_Date,Course_Enrolled,Plan_Type,Enrollment_Date,Course_Completion_Status,Monthly_Fee,Referral_Count,Satisfaction_Score
USER00001,47,Female,Rural Area,Diploma,Data Science,Mobile,Facebook,60,2023-05-14,Yes,2023-05-27,No,,,,0,0,0
USER00002,27,Female,Tier-2 City,Diploma,Data Science,Mobile,YouTube,81,2023-04-24,Yes,2023-05-07,Yes,Elite,2023-05-09,Dropped,2499,1,10
USER00003,33,Male,Rural Area,High School,Digital Marketing,Tablet,YouTube,64,2023-06-21,Yes,2023-06-24,Yes,Pro,2023-06-25,In Progress,1799,1,7
USER00004,22,Male,Tier-1 City,High School,Data Science,Tablet,YouTube,60,2023-11-25,Yes,2023-11-26,No,,,,0,0,0
USER00005,39,Male,Tier-2 City,Postgraduate,UI/UX Design,Mobile,Instagram,19,2023-03-20,No,,No,,,,0,0,0
USER00006,27,Male,Tier-1 City,High School,Digital Marketing,Tablet,Facebook,58,2023-01-24,Yes,2023-02-03,No,,,,0,0,0
USER00007,25,Female,Tier-2 City,High School,Data Science,Mobile,Facebook,80,2024-07-29,Yes,2024-08-02,Yes,Basic,2024-08-09,Completed,999,1,10
USER00008,29,Female,Tier-1 City,Postgraduate,Entrepreneurship,Mobile,Google Search,66,2023-08-10,Yes,2023-08-17,Yes,Pro,2023-08-27,In Progress,1799,1,7
USER00009,20,Other,Tier-1 City,Graduate,UI/UX Design,Mobile,YouTube,69,2023-12-28,Yes,2023-12-31,Yes,Pro,2024-01-06,Dropped,1799,1,9
USER00010,44,Female,Tier-2 City,High School,Finance,Mobile,Google Search,19,2023-03-05,No,,No,,,,0,0,0
USER00011,16,Female,Rural Area,Graduate,Finance,Desktop,LinkedIn,40,2024-10-08,No,,No,,,,0,0,0
USER00012,21,Female,Tier-1 City,Graduate,Finance,Mobile,Instagram,29,2024-09-10,No,,No,,,,0,0,0
USER00013,28,Other,Rural Area,Diploma,Data Science,Mobile,Google Search,42,2023-04-15,Yes,2023-04-16,No,,,,0,0,0
USER00014,45,Male,Rural Area,Postgraduate,Data Science,Desktop,LinkedIn,90,2023-05-05,Yes,2023-05-16,Yes,Basic,2023-05-22,Completed,999,0,10
USER00015,35,Male,Rural Area,High School,Digital Marketing,Mobile,LinkedIn,52,2023-10-15,Yes,2023-10-15,No,,,,0,0,0
USER00016,24,Female,Rural Area,High School,Finance,Tablet,Instagram,65,2024-08-18,Yes,2024-08-21,Yes,Pro,2024-08-25,In Progress,1799,0,7
USER00017,45,Other,Rural Area,Graduate,Digital Marketing,Desktop,YouTube,46,2024-09-25,Yes,2024-09-28,No,,,,0,0,0
USER00018,50,Other,Tier-2 City,High School,Data Science,Desktop,LinkedIn,11,2023-05-06,No,,No,,,,0,0,0
USER00019,24,Female,Rural Area,Diploma,Digital Marketing,Mobile,YouTube,96,2023-04-20,Yes,2023-04-29,Yes,Elite,2023-05-01,Completed,2499,2,8
USER00020,35,Male,Tier-1 City,Graduate,Finance,Mobile,Google Search,91,2024-01-25,Yes,2024-02-01,Yes,Pro,2024-02-11,Completed,1799,2,9
USER00021,26,Female,Tier-2 City,Graduate,Finance,Mobile,Instagram,83,2023-12-28,Yes,2024-01-04,Yes,Pro,2024-01-14,In Progress,1799,2,10
USER00022,28,Female,Rural Area,Diploma,Entrepreneurship,Desktop,YouTube,86,2024-03-04,Yes,2024-03-07,Yes,Elite,2024-03-15,Completed,2499,0,9
USER00023,47,Female,Rural Area,Diploma,Finance,Mobile,YouTube,91,2023-10-17,Yes,2023-10-21,Yes,Elite,2023-10-27,In Progress,2499,1,7
USER00024,39,Male,Tier-1 City,High School,Data Science,Mobile,LinkedIn,14,2023-06-21,No,,No,,,,0,0,0
USER00025,16,Other,Tier-2 City,Postgraduate,UI/UX Design,Tablet,LinkedIn,73,2024-10-01,Yes,2024-10-03,Yes,Elite,2024-10-07,Dropped,2499,0,8
USER00026,25,Other,Tier-1 City,Diploma,UI/UX Design,Mobile,Google Search,77,2023-01-27,Yes,2023-01-30,Yes,Basic,2023-02-01,Dropped,999,0,8
